0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:39 +0530] "GET /Supermarket_Management_System/incDecQuantityAction.jsp?id=2&quantity=dec HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:39 +0530] "GET /Supermarket_Management_System/myCart.jsp?msg=dec HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:44 +0530] "GET /Supermarket_Management_System/incDecQuantityAction.jsp?id=2&quantity=dec HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:44 +0530] "GET /Supermarket_Management_System/myCart.jsp?msg=dec HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:47 +0530] "GET /Supermarket_Management_System/incDecQuantityAction.jsp?id=2&quantity=dec HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:47 +0530] "GET /Supermarket_Management_System/myCart.jsp?msg=notPossible HTTP/1.1" 200 4062
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:51 +0530] "GET /Supermarket_Management_System/incDecQuantityAction.jsp?id=1&quantity=inc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:51 +0530] "GET /Supermarket_Management_System/myCart.jsp?msg=inc HTTP/1.1" 200 4048
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:53 +0530] "GET /Supermarket_Management_System/incDecQuantityAction.jsp?id=1&quantity=inc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Mar/2021:17:26:53 +0530] "GET /Supermarket_Management_System/myCart.jsp?msg=inc HTTP/1.1" 200 4048
